stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,Kuinka pian tarviotset sen?,0,0,Shift_L,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,188,1,K,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,375,2,u,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,531,3,i,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,718,4,n,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,905,5,k,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,1061,6,a,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,1217,7,space,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,1498,8,p,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,1748,9,i,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,1872,10,a,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,2060,11,n,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,2216,12,space,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,2590,13,t,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,2777,14,a,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,2996,15,r,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,3245,16,v,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,3526,17,i,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,3526,18,o,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,3900,19,t,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,4056,20,s,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,4275,21,e,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,4524,22,t,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,4805,23,space,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,4961,24,s,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,5180,25,e,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,5429,26,n,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,6209,27,Shift_L,Kuinka pian tarviotset sen?
0,Kuinka pian tarviotset sen?,6646,28,question,Kuinka pian tarviotset sen?
1,Onko hän valmis vielä?,0,0,Shift_L,Onko hän valmis vielä?
1,Onko hän valmis vielä?,155,1,O,Onko hän valmis vielä?
1,Onko hän valmis vielä?,437,2,n,Onko hän valmis vielä?
1,Onko hän valmis vielä?,624,3,k,Onko hän valmis vielä?
1,Onko hän valmis vielä?,811,4,o,Onko hän valmis vielä?
1,Onko hän valmis vielä?,1092,5,space,Onko hän valmis vielä?
1,Onko hän valmis vielä?,1342,6,h,Onko hän valmis vielä?
1,Onko hän valmis vielä?,1654,7,adiaeresis,Onko hän valmis vielä?
1,Onko hän valmis vielä?,1996,8,n,Onko hän valmis vielä?
1,Onko hän valmis vielä?,2152,9,space,Onko hän valmis vielä?
1,Onko hän valmis vielä?,2401,10,v,Onko hän valmis vielä?
1,Onko hän valmis vielä?,2526,11,a,Onko hän valmis vielä?
1,Onko hän valmis vielä?,2808,12,l,Onko hän valmis vielä?
1,Onko hän valmis vielä?,3058,13,m,Onko hän valmis vielä?
1,Onko hän valmis vielä?,3244,14,i,Onko hän valmis vielä?
1,Onko hän valmis vielä?,3369,15,s,Onko hän valmis vielä?
1,Onko hän valmis vielä?,3588,16,space,Onko hän valmis vielä?
1,Onko hän valmis vielä?,3868,17,v,Onko hän valmis vielä?
1,Onko hän valmis vielä?,4150,18,i,Onko hän valmis vielä?
1,Onko hän valmis vielä?,4150,19,o,Onko hän valmis vielä?
1,Onko hän valmis vielä?,4305,20,e,Onko hän valmis vielä?
1,Onko hän valmis vielä?,4960,21,l,Onko hän valmis vielä?
1,Onko hän valmis vielä?,5615,22,Shift_L,Onko hän valmis vielä?
1,Onko hän valmis vielä?,6614,23,BackSpace,Onko hän valmis vielä?
1,Onko hän valmis vielä?,6769,24,BackSpace,Onko hän valmis vielä?
1,Onko hän valmis vielä?,7237,25,BackSpace,Onko hän valmis vielä?
1,Onko hän valmis vielä?,8174,26,e,Onko hän valmis vielä?
1,Onko hän valmis vielä?,8454,27,l,Onko hän valmis vielä?
1,Onko hän valmis vielä?,8891,28,adiaeresis,Onko hän valmis vielä?
1,Onko hän valmis vielä?,9578,29,Shift_L,Onko hän valmis vielä?
1,Onko hän valmis vielä?,9766,30,question,Onko hän valmis vielä?
2,Mikä on vialla?,0,0,Shift_L,Mikä on vialla?
2,Mikä on vialla?,187,1,M,Mikä on vialla?
2,Mikä on vialla?,404,2,i,Mikä on vialla?
2,Mikä on vialla?,560,3,k,Mikä on vialla?
2,Mikä on vialla?,1184,4,odiaeresis,Mikä on vialla?
2,Mikä on vialla?,1684,5,BackSpace,Mikä on vialla?
2,Mikä on vialla?,1934,6,adiaeresis,Mikä on vialla?
2,Mikä on vialla?,2214,7,space,Mikä on vialla?
2,Mikä on vialla?,2496,8,o,Mikä on vialla?
2,Mikä on vialla?,2713,9,n,Mikä on vialla?
2,Mikä on vialla?,2901,10,space,Mikä on vialla?
2,Mikä on vialla?,3181,11,v,Mikä on vialla?
2,Mikä on vialla?,3463,12,i,Mikä on vialla?
2,Mikä on vialla?,4024,13,a,Mikä on vialla?
2,Mikä on vialla?,4180,14,l,Mikä on vialla?
2,Mikä on vialla?,4304,15,l,Mikä on vialla?
2,Mikä on vialla?,4429,16,a,Mikä on vialla?
2,Mikä on vialla?,4991,17,Shift_L,Mikä on vialla?
2,Mikä on vialla?,5178,18,question,Mikä on vialla?
3,Missä olet?,0,0,Shift_L,Missä olet?
3,Missä olet?,250,1,M,Missä olet?
3,Missä olet?,437,2,i,Missä olet?
3,Missä olet?,656,3,s,Missä olet?
3,Missä olet?,843,4,s,Missä olet?
3,Missä olet?,999,5,adiaeresis,Missä olet?
3,Missä olet?,1311,6,space,Missä olet?
3,Missä olet?,1560,7,o,Missä olet?
3,Missä olet?,1748,8,l,Missä olet?
3,Missä olet?,1871,9,e,Missä olet?
3,Missä olet?,2184,10,t,Missä olet?
3,Missä olet?,2651,11,Shift_L,Missä olet?
3,Missä olet?,2776,12,question,Missä olet?
4,Tarvitsetko sen tänään?,0,0,Shift_L,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,280,1,T,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,687,2,a,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,904,3,r,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,1154,4,v,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,1592,5,i,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,1871,6,t,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,2059,7,s,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,2278,8,e,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,2589,9,t,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,2871,10,k,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,3088,11,o,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,3369,12,space,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,3494,13,s,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,3681,14,e,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,3868,15,n,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,4055,16,space,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,4211,17,t,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,4523,18,adiaeresis,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,5180,19,n,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,5553,20,adiaeresis,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,5710,21,adiaeresis,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,5990,22,n,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,6490,23,Shift_L,Tarvitsetko sen tänään?
4,Tarvitsetko sen tänään?,6802,24,question,Tarvitsetko sen tänään?
5,Pitääkö meidän jutella?,0,0,Shift_L,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,593,1,P,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,843,2,i,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,1124,3,t,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,1841,4,adiaeresis,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,1966,5,adiaeresis,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,2216,6,k,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,2434,7,odiaeresis,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,2715,8,space,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,2933,9,m,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,3276,10,e,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,3463,11,i,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,3463,12,o,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,5148,13,BackSpace,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,6052,14,d,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,6396,15,adiaeresis,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,6708,16,n,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,6896,17,space,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,7083,18,j,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,7269,19,u,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,7519,20,t,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,7676,21,e,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,8144,22,l,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,8300,23,l,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,9266,24,a,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,9828,25,Shift_L,Pitääkö meidän jutella?
5,Pitääkö meidän jutella?,10108,26,question,Pitääkö meidän jutella?
6,Tuo lienee oikea vastaus.,0,0,Shift_L,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,343,1,T,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,562,2,u,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,935,3,o,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,1217,4,space,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,1435,5,l,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,1684,6,i,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,1904,7,e,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,2090,8,n,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,2246,9,e,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,2402,10,e,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,2589,11,space,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,2996,12,o,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,3151,13,i,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,3338,14,k,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,3494,15,e,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,3868,16,a,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,4088,17,space,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,4523,18,v,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,4680,19,a,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,4868,20,s,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,5116,21,t,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,5241,22,a,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,5553,23,u,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,5678,24,s,Tuo lienee oikea vastaus.
6,Tuo lienee oikea vastaus.,6645,25,period,Tuo lienee oikea vastaus.
7,Kokeilen uudestaan.,0,0,Shift_L,Kokeilen uudestaan.
7,Kokeilen uudestaan.,312,1,K,Kokeilen uudestaan.
7,Kokeilen uudestaan.,998,2,o,Kokeilen uudestaan.
7,Kokeilen uudestaan.,1217,3,k,Kokeilen uudestaan.
7,Kokeilen uudestaan.,1373,4,i,Kokeilen uudestaan.
7,Kokeilen uudestaan.,1996,5,BackSpace,Kokeilen uudestaan.
7,Kokeilen uudestaan.,2340,6,e,Kokeilen uudestaan.
7,Kokeilen uudestaan.,3276,7,i,Kokeilen uudestaan.
7,Kokeilen uudestaan.,3463,8,l,Kokeilen uudestaan.
7,Kokeilen uudestaan.,3588,9,e,Kokeilen uudestaan.
7,Kokeilen uudestaan.,3838,10,n,Kokeilen uudestaan.
7,Kokeilen uudestaan.,4025,11,space,Kokeilen uudestaan.
7,Kokeilen uudestaan.,4305,12,u,Kokeilen uudestaan.
7,Kokeilen uudestaan.,4430,13,u,Kokeilen uudestaan.
7,Kokeilen uudestaan.,4710,14,d,Kokeilen uudestaan.
7,Kokeilen uudestaan.,4898,15,e,Kokeilen uudestaan.
7,Kokeilen uudestaan.,5148,16,s,Kokeilen uudestaan.
7,Kokeilen uudestaan.,5398,17,t,Kokeilen uudestaan.
7,Kokeilen uudestaan.,5522,18,a,Kokeilen uudestaan.
7,Kokeilen uudestaan.,5741,19,a,Kokeilen uudestaan.
7,Kokeilen uudestaan.,6271,20,n,Kokeilen uudestaan.
7,Kokeilen uudestaan.,6708,21,period,Kokeilen uudestaan.
8,Tuletko kanssamme lounaalle?,0,0,Shift_L,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,219,1,T,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,624,2,u,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,1029,3,l,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,1217,4,e,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,1529,5,t,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,1841,6,k,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,2028,7,o,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,2309,8,space,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,2559,9,k,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,2714,10,a,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,2901,11,n,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,3245,12,s,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,3431,13,s,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,3618,14,a,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,3993,15,m,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,4150,16,m,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,4275,17,e,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,4461,18,space,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,4743,19,l,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,4930,20,o,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,5180,21,u,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,5460,22,n,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,5678,23,a,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,5897,24,a,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,6084,25,l,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,6240,26,l,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,6365,27,e,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,7082,28,Shift_L,Tuletko kanssamme lounaalle?
8,Tuletko kanssamme lounaalle?,7239,29,question,Tuletko kanssamme lounaalle?
9,Voitko auttaa?,0,0,Shift_L,Voitko auttaa?
9,Voitko auttaa?,312,1,V,Voitko auttaa?
9,Voitko auttaa?,624,2,o,Voitko auttaa?
9,Voitko auttaa?,812,3,i,Voitko auttaa?
9,Voitko auttaa?,1092,4,t,Voitko auttaa?
9,Voitko auttaa?,1279,5,k,Voitko auttaa?
9,Voitko auttaa?,1685,6,o,Voitko auttaa?
9,Voitko auttaa?,1966,7,space,Voitko auttaa?
9,Voitko auttaa?,2121,8,a,Voitko auttaa?
9,Voitko auttaa?,2371,9,u,Voitko auttaa?
9,Voitko auttaa?,2621,10,t,Voitko auttaa?
9,Voitko auttaa?,2746,11,t,Voitko auttaa?
9,Voitko auttaa?,2933,12,a,Voitko auttaa?
9,Voitko auttaa?,3183,13,a,Voitko auttaa?
9,Voitko auttaa?,3651,14,Shift_L,Voitko auttaa?
9,Voitko auttaa?,3838,15,question,Voitko auttaa?
10,Tapahtuiko tuo?,0,0,Shift_L,Tapahtuiko tuo?
10,Tapahtuiko tuo?,312,1,T,Tapahtuiko tuo?
10,Tapahtuiko tuo?,530,2,a,Tapahtuiko tuo?
10,Tapahtuiko tuo?,873,3,p,Tapahtuiko tuo?
10,Tapahtuiko tuo?,1029,4,a,Tapahtuiko tuo?
10,Tapahtuiko tuo?,1310,5,h,Tapahtuiko tuo?
10,Tapahtuiko tuo?,1622,6,t,Tapahtuiko tuo?
10,Tapahtuiko tuo?,1872,7,u,Tapahtuiko tuo?
10,Tapahtuiko tuo?,4711,8,i,Tapahtuiko tuo?
10,Tapahtuiko tuo?,4898,9,k,Tapahtuiko tuo?
10,Tapahtuiko tuo?,5054,10,o,Tapahtuiko tuo?
10,Tapahtuiko tuo?,5335,11,space,Tapahtuiko tuo?
10,Tapahtuiko tuo?,5460,12,t,Tapahtuiko tuo?
10,Tapahtuiko tuo?,5709,13,u,Tapahtuiko tuo?
10,Tapahtuiko tuo?,5928,14,o,Tapahtuiko tuo?
10,Tapahtuiko tuo?,6271,15,Shift_L,Tapahtuiko tuo?
10,Tapahtuiko tuo?,6520,16,question,Tapahtuiko tuo?
11,Toivon että voit jo paremmin.,0,0,Shift_L,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,405,1,T,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,873,2,o,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,1060,3,i,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,1342,4,v,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,1778,5,o,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,2027,6,n,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,2246,7,space,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,2434,8,e,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,2684,9,t,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,2870,10,t,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,3057,11,adiaeresis,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,3338,12,space,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,3651,13,v,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,3931,14,o,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,4118,15,i,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,4368,16,t,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,4648,17,space,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,4898,18,j,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,5085,19,o,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,5366,20,space,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,5771,21,p,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,5927,22,a,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,6583,23,r,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,6707,24,e,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,7051,25,m,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,7238,26,m,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,7425,27,i,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,7643,28,n,Toivon että voit jo paremmin.
11,Toivon että voit jo paremmin.,8392,29,period,Toivon että voit jo paremmin.
12,Tuo näyttää hyvältä.,0,0,Shift_L,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,311,1,T,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,529,2,u,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,935,3,o,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,1185,4,space,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,1403,5,n,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,1777,6,adiaeresis,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,3337,7,y,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,3556,8,t,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,3712,9,t,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,4055,10,adiaeresis,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,4211,11,adiaeresis,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,4461,12,space,Tuo näyttää hyvältä.
12,Tuo näyttää hyvältä.,4741,13,h,Tuo näyttää hyvältä.
